pH,TDS_ppm,Turbidity_NTU,Temperature_C,Label
7.45,109.6,0.31,21.63,Safe
7.65,143,2.71,20.98,Safe
7.33,156.5,0.66,21.49,Safe
6.8,85.1,1.44,21.31,Safe
7.05,84.5,2.23,21.53,Safe
6.87,154.6,2.95,21.02,Safe
7.57,100.9,1.99,21.57,Safe
7.56,153.7,2.4,21.51,Safe
6.95,161.8,1.12,20.22,Safe
7.37,156.8,1.46,22.1,Safe
7.25,101.4,0.8,21.23,Safe
7.58,83.8,1.09,20.52,Safe
7.19,126.8,2.59,21.41,Safe
7.09,105,2.44,22.07,Safe
7.32,141.6,0.24,21.87,Safe
7.43,85.4,0.17,21.54,Safe
7.03,152.2,0.96,20.83,Safe
7.38,109.5,1.93,21.64,Safe
7.28,159.7,1.4,21.34,Safe
7.49,156.9,1.33,22.23,Safe
7.05,140.2,2.54,20.98,Safe
7.5,170.3,1.08,20.83,Safe
7.46,146.5,2.31,21.75,Safe
7.38,161.9,1.81,21.45,Safe
7.36,133.7,1.25,21.65,Safe
7.45,94.8,0.88,21.66,Safe
7.4,108.8,2.12,21.4,Safe
7.37,128.2,0.06,21.24,Safe
7.58,125.5,2.48,21.86,Safe
7.2,155.4,0.17,20.65,Safe
7.44,94.2,2.77,21.22,Safe
7.49,106.9,1.07,22.32,Safe
7.41,151.2,2.17,21.41,Safe
7.1,91.3,1.58,21.28,Safe
7.4,157.4,2.07,20.99,Safe
7.17,91.4,0,22.1,Safe
6.95,171.7,1.85,22.07,Safe
7.46,120.3,0.4,21.82,Safe
7.24,149.9,2.14,21.99,Safe
7.3,170.8,0.45,22.2,Safe
7.04,163.4,0.25,21.89,Safe
6.85,171.2,0.79,21.74,Safe
6.8,146.7,3.08,22.37,Safe
6.98,147.5,2.07,21.95,Safe
7.29,111.3,2.18,22.23,Safe
7.02,164.5,2.26,22.51,Safe
7.17,130.7,1.95,21.59,Safe
7.18,93.2,1.51,22.88,Safe
6.89,113.6,1.59,21.68,Safe
7.19,178.2,2.38,21.82,Safe
7.04,143.5,2.95,21.91,Safe
7.44,143.7,1.58,21.08,Safe
6.97,146.4,3.12,22.03,Safe
7.61,91.3,2.45,21.87,Safe
7.17,141.7,3.61,21.52,Safe
7.33,137.5,0.11,22.13,Safe
7.5,170,0.55,22.59,Safe
7.25,149.5,1.52,22.14,Safe
7.16,157.8,1.94,20.94,Safe
7.06,128.9,2.57,21.72,Safe
7.16,173.4,2.26,22.5,Safe
6.8,95.5,2.81,22.6,Safe
7.29,126.3,0,22.44,Safe
7.48,170.7,2.4,22.51,Safe
7.32,135.4,1,22.2,Safe
7.16,176.7,0,22.07,Safe
7.03,168.4,2.18,22.17,Safe
7,169,1.39,22.44,Safe
6.79,130.9,0.22,21.89,Safe
6.8,172.4,2.31,22.53,Safe
7.43,83.8,0.96,21.95,Safe
6.95,90.7,2.84,22.17,Safe
7.26,119.8,1.45,22.09,Safe
7.17,146.8,3.04,22.44,Safe
6.8,129.3,2.77,22.04,Safe
7.24,142.9,1.12,22.74,Safe
6.91,100.6,1.87,21.69,Safe
7.18,86,1.51,21.55,Safe
7.55,120.8,0.14,21.06,Safe
7.39,127.4,0.98,22.05,Safe
7.45,143.5,2.95,21.1,Safe
7.32,87.3,0.13,22.07,Safe
7.35,86,2.51,21.89,Safe
7.15,140.4,3.03,22.61,Safe
7.54,80.9,0.29,21.69,Safe
7.16,127.9,2.61,21.15,Safe
7.38,117,1.52,22.48,Safe
7.51,153.1,1.48,21.87,Safe
7.28,143.4,1.2,22.65,Safe
6.8,137.5,1.01,21.52,Safe
7.3,134.4,2.67,21.16,Safe
6.89,128.6,2.66,22.95,Safe
6.82,117.5,1.81,21.78,Safe
7.52,132.6,0.41,21.95,Safe
7.25,137.4,1.68,21.4,Safe
6.91,79.5,2.47,21.47,Safe
7.3,104.3,1.11,21.51,Safe
7.3,139.8,0,22.65,Safe
6.91,177.7,1.93,23.82,Safe
7.45,107,2.36,22.32,Safe
7.27,113,2.01,23.06,Safe
7.07,143.7,2.17,22.62,Safe
6.96,90,3.14,22.78,Safe
7.26,152.4,2.1,22.43,Safe
7.06,112.7,1.22,22.11,Safe
6.85,156.4,0.96,22.23,Safe
7.36,158.4,0.98,22.9,Safe
7.12,119.8,0.24,22.09,Safe
6.87,133.4,0.81,21.55,Safe
7,107.6,2.49,22.42,Safe
7.05,130.8,2.32,22.91,Safe
7.38,92.3,1.96,21.67,Safe
6.92,152.3,2.02,23.4,Safe
7.28,90.6,2.04,22.62,Safe
7.28,81.3,0.76,22.15,Safe
7.02,146.4,1.05,22.19,Safe
7.43,112.6,1.51,21.83,Safe
7.61,88.6,2.28,22.39,Safe
6.85,101.5,3.52,23.21,Safe
6.94,156,1.28,21.97,Safe
7.18,123,0.63,22.5,Safe
7.46,99.3,3.72,23.12,Safe
7.23,111.4,1.82,22.84,Safe
7.05,152.3,0.93,23.04,Safe
6.88,135.3,0,22.23,Safe
6.76,91.3,0.01,21.74,Safe
6.85,126.5,2.37,23.71,Safe
7.38,130.9,1.04,23.03,Safe
7.16,118,2.6,22.55,Safe
7.2,117.8,0.75,22.84,Safe
7.32,127.5,3.01,22.45,Safe
6.95,101.3,1.89,22.4,Safe
7.46,151.5,0.42,21.94,Safe
7.02,128.6,0.68,22.82,Safe
7.01,167.8,1.69,22.08,Safe
7.03,171.6,0.46,22.24,Safe
6.83,162.2,3.18,21.79,Safe
7.02,120.1,2.02,22.52,Safe
7.41,105.2,0.8,22.71,Safe
6.99,136.5,1.02,23.2,Safe
7.09,162.5,1.53,21.87,Safe
7.31,88.1,1.99,22.49,Safe
7.18,146.1,2.91,22.18,Safe
7.01,142.1,2.47,22.7,Safe
6.93,81.9,3.2,22.51,Safe
7.36,127.6,1.67,21.73,Safe
7.47,120.4,1.85,22.41,Safe
7.43,100.8,1.7,22.22,Safe
7.09,152.8,1.22,22.72,Safe
7.08,126,0,22.55,Safe
6.93,83.5,1.7,21.96,Safe
7.1,116.8,1,22.37,Safe
7.43,175.5,2.56,22.89,Safe
7.25,153.3,1.55,22.2,Safe
6.96,149.5,1.76,22.83,Safe
7.55,168.2,1.99,21.35,Safe
7.41,170.4,0.44,23.12,Safe
7.52,170.9,2.24,22.35,Safe
7.14,99.8,1.7,23,Safe
7.01,151.5,3.57,22.97,Safe
7.34,168.7,1.48,23,Safe
7.48,90.1,2.13,22.5,Safe
7.03,148.5,2.87,23.53,Safe
7,116.9,0.38,23.03,Safe
6.93,155.7,1.27,22.69,Safe
7.09,181.4,2.54,22.78,Safe
7.33,85.3,0.93,22.82,Safe
7.58,98.9,1.87,22.34,Safe
7.07,106,0.23,22.08,Safe
7.51,139.9,0.55,23.47,Safe
7.39,110.8,1.6,23.84,Safe
7.06,138.7,1.98,22.21,Safe
7.19,73.9,1.72,23.52,Safe
7.5,94.5,2.23,22.95,Safe
7.05,132.2,2.68,22.93,Safe
6.82,101.7,0.52,23.4,Safe
6.98,104.4,1.89,22.61,Safe
6.91,177.2,2.73,23.81,Safe
7,146,2.1,23.04,Safe
7.51,129.9,1.37,22.91,Safe
7.47,118.7,2.52,23.15,Safe
7.22,171.2,0,22.19,Safe
6.75,126.6,2.76,23.01,Safe
6.9,89.8,2.15,22.65,Safe
6.94,103.5,1.23,23.29,Safe
7.11,159.5,3.26,21.93,Safe
7.1,129.4,1.32,22.94,Safe
7.49,148.6,2.38,22.3,Safe
6.87,150.1,0.38,24.03,Safe
7.02,87,1.4,23.06,Safe
7.2,133.9,0.53,22.89,Safe
7.27,128.3,0.98,23.06,Safe
7.23,122.8,2.15,22.57,Safe
6.85,115.9,0.37,23.13,Safe
6.95,129.3,2.39,23.43,Safe
7.21,137.4,0.65,22.98,Safe
7.56,161.9,1.75,23.14,Safe
7.02,165,0.92,22.88,Safe
7.5,104.6,1.79,23.62,Safe
6.83,116.1,3.67,23.1,Safe
7.01,111.9,1.14,22.06,Safe
7.31,149.8,1.27,23.88,Safe
7.27,88.9,3.12,23.3,Safe
7.25,99.4,3.04,23.38,Safe
7.49,156,2.03,22.78,Safe
7.28,142.8,1.6,23.39,Safe
7.02,102.3,2.04,22.58,Safe
6.86,155.4,1.84,22.31,Safe
7.4,107.3,1.39,22.67,Safe
7.33,94.2,2.36,22.59,Safe
7.44,100.1,0.96,23.28,Safe
7,81.7,2.01,22.77,Safe
7.05,168.1,3.09,23.05,Safe
7.29,92.5,2.05,22.77,Safe
6.81,117.7,1.79,22.49,Safe
6.85,163.1,0.62,22.4,Safe
7.31,143.7,2.35,23.69,Safe
7.09,106.4,2.88,24.38,Safe
6.86,182.7,2.3,23.68,Safe
7.31,150.5,0.59,23.47,Safe
7.36,141.2,1.74,24.48,Safe
7.38,130.3,0.91,22.9,Safe
7.51,160.5,1.85,24.28,Safe
7.24,108.5,2.24,22.95,Safe
6.82,123.3,2.29,23.27,Safe
7.01,165.5,2.37,23.67,Safe
7.57,84.3,3.34,23.95,Safe
6.84,115.2,2.98,24.1,Safe
6.82,100.2,0.18,23.4,Safe
7.42,107.6,0.18,22.65,Safe
7.27,89.2,0.33,23.12,Safe
6.9,78.7,1.7,23.94,Safe
7.28,132.3,0.46,23.32,Safe
7.17,104.7,1.07,23.08,Safe
7.46,168.2,1.59,24.42,Safe
7.17,137.5,1.81,22.91,Safe
7.11,120.6,0.42,23.98,Safe
7.2,122.8,2.08,23.63,Safe
6.85,134.1,0.39,24.24,Safe
7.01,173,0.82,23.72,Safe
7.07,94.6,2.53,24.11,Safe
6.93,100,1.21,23.76,Safe
7.46,84.8,0.17,23.77,Safe
6.83,105.9,2.38,23.91,Safe
7.3,81.7,1.62,22.38,Safe
6.92,80,1.07,24.09,Safe
7.22,119.7,3.41,23.88,Safe
6.82,153.7,0.54,22.72,Safe
7.38,116.5,2.54,23.29,Safe
7.2,169.7,0.17,23.88,Safe
7.48,102.5,2.86,23.55,Safe
7.02,135.3,3.15,23.75,Safe
7.07,180.7,3.71,23.06,Safe
6.8,120.2,1.91,22.96,Safe
6.84,90.9,0.05,23.82,Safe
7.23,115,2.12,23.47,Safe
7.6,157,2.2,23.73,Safe
7.38,104.7,0.91,23.36,Safe
6.88,144.4,1.71,24.11,Safe
7.07,97.1,2.22,23.89,Safe
7.28,174.5,2.68,24.13,Safe
7.1,83.4,0.75,23.39,Safe
7.02,185.6,0.59,22.93,Safe
6.99,88.5,3.12,23.71,Safe
6.8,83.2,1.78,22.55,Safe
7.29,118.1,1.75,22.79,Safe
7.37,105.2,1.14,22.86,Safe
7.38,158.4,0,23.22,Safe
7.25,70.8,0.32,23.6,Safe
7.25,150.8,0.17,23.58,Safe
7.34,91.3,0.3,23.81,Safe
7.31,115,1.05,23.7,Safe
7.28,81,0.44,24.37,Safe
7.49,135.8,1.46,22.9,Safe
7.34,121.3,2.91,23.61,Safe
7.43,95.4,3.19,24.31,Safe
7.48,104.8,2.25,23.02,Safe
6.97,91.5,0.82,24.34,Safe
7.59,116.5,3.4,24.52,Safe
7.31,151,0.25,24.04,Safe
7.04,94.5,1.72,24.23,Safe
6.8,140.5,1.03,23.58,Safe
7.52,112.4,0.94,24.25,Safe
7.43,111.1,1.06,23.91,Safe
7.04,153.3,1.12,24.02,Safe
7.14,160.3,1.16,23.68,Safe
7.03,152.5,0.95,23.94,Safe
6.81,140.2,0.99,24.34,Safe
7.05,118.9,0.38,23.77,Safe
6.91,146.8,2.55,24.78,Safe
7.09,108.9,2.34,23.5,Safe
6.98,160.8,0.39,23.81,Safe
7.58,120.4,1.04,24.45,Safe
7.21,169.7,2.03,23.08,Safe
7.38,109.8,1.33,23.52,Safe
7.37,139.7,1.89,24.45,Safe
7.39,110.2,1.16,23.63,Safe
6.85,152,1.74,24.54,Safe
6.71,82.8,2.69,23.79,Safe
7.29,184.6,2.58,23.73,Safe
7.59,122.9,0.65,23.17,Safe
7.53,165.1,3.43,24.95,Safe
7.29,142.2,2.26,23.56,Safe
7.18,110.5,1.47,24.58,Safe
6.93,75.4,1.59,24.44,Safe
7.47,178.8,1.82,24.01,Safe
7.33,117.2,0.98,22.92,Safe
7.24,164.6,1.56,23.98,Safe
7.3,113.2,0.09,24.84,Safe
7.4,155.3,2.79,24.87,Safe
6.84,118.9,2.07,23.41,Safe
7.56,103.6,1.39,23.85,Safe
7.19,108.9,0.55,24.1,Safe
7,115,2.59,24.99,Safe
7.12,137.3,2.09,24.79,Safe
7.57,80.2,2.27,22.99,Safe
7.4,118.2,2.15,23.49,Safe
7.53,116.9,1.37,24.11,Safe
7.55,119.4,0,24.23,Safe
7.16,155.9,0,23.89,Safe
6.93,135,2.23,24.2,Safe
7.1,92.1,0.7,23.58,Safe
7.56,143.2,1.43,25.08,Safe
7.49,115.8,0.4,24.06,Safe
6.8,176.5,3.26,24.99,Safe
7.26,159.3,3.28,23.98,Safe
7.14,172.5,3.49,24.22,Safe
6.95,117.7,1.12,23.71,Safe
7.12,98.6,2.46,24.42,Safe
7.14,166.3,2.07,24.16,Safe
7.2,187.2,1.26,24.23,Safe
7.04,93,1.94,24.55,Safe
6.81,122.2,0.56,24.35,Safe
7.11,119.3,2.38,23.73,Safe
6.79,95.6,3.61,24.01,Safe
6.84,100.3,0.63,24.27,Safe
6.92,93,0.36,24.27,Safe
6.92,114.3,0.26,24.66,Safe
7.2,127.2,1.11,25.08,Safe
7.41,104.6,0.19,24.56,Safe
7.32,138.8,0.38,24.75,Safe
7.36,181.8,2.35,24.05,Safe
7.06,180.3,0.87,24.25,Safe
7.34,165,0.51,24.22,Safe
7.15,137.4,1.74,24.1,Safe
7.08,100.1,0.97,24.7,Safe
7.22,137,1.13,23.58,Safe
7.41,88.5,1.47,23.8,Safe
7.2,163.1,2.3,24.94,Safe
7.1,130.7,0.28,24.3,Safe
7.39,85.6,0.75,23.58,Safe
7.3,138,1.45,24.05,Safe
7.57,138.2,2.96,24.61,Safe
6.99,103.7,0.68,24.57,Safe
7.21,141.9,0.15,25.56,Safe
7.37,88.1,3.03,24.14,Safe
7.26,143,3.17,25.65,Safe
7,93.8,2.67,24.36,Safe
7.37,104.5,2.73,24.89,Safe
7.05,162,3.43,24.78,Safe
7.32,146.1,1.79,24.01,Safe
7.23,152,0.24,24.16,Safe
7.5,119.1,2.7,24.8,Safe
6.79,127.2,0.86,23.75,Safe
7.05,167.9,0.89,24.63,Safe
7.35,124.3,1.63,24.67,Safe
7.41,172.1,1.68,24.32,Safe
6.88,154.7,1.48,24.91,Safe
6.85,157.7,1.23,24.47,Safe
7.22,99.4,2.8,24.67,Safe
7.46,157,1.75,25.14,Safe
6.92,121.1,2.06,24.68,Safe
7.51,107.2,1.27,24.04,Safe
7.57,110.1,1.03,24.51,Safe
7.2,129.9,2,25.01,Safe
7.23,161.1,1.77,23.72,Safe
6.89,145.1,1.94,23.9,Safe
7.54,107.5,0,24.5,Safe
6.92,88.4,1.49,24.14,Safe
7.03,124.8,0.91,24.52,Safe
7.05,124.9,3.63,25.13,Safe
7.67,129.6,2.17,24.39,Safe
6.87,123.7,0.87,24.01,Safe
6.95,88,0.35,23.97,Safe
7.44,160.2,0.46,23.58,Safe
7,94.5,2.12,23.97,Safe
6.93,178.5,0.47,24.59,Safe
7.55,167.7,0.56,25.28,Safe
7.16,91.5,1.33,23.81,Safe
7.39,145.4,0,25.22,Safe
6.74,105.5,0.64,23.87,Safe
6.91,162.9,0.88,24.78,Safe
6.94,179.7,0.63,23.91,Safe
7.25,117.1,1.94,23.88,Safe
6.94,108.6,1.2,24.02,Safe
7.53,107.5,0.63,24.01,Safe
6.76,147.2,1.83,25.65,Safe
6.8,92,2.62,24.7,Safe
6.89,112.4,3.5,25,Safe
7.08,95.4,1.54,25.77,Safe
7.62,158.5,0.46,24.63,Safe
6.9,153.7,1.55,24.88,Safe
7.22,115.9,2.76,24.97,Safe
7.2,170.8,2.56,24.73,Safe
7.48,161.7,1.26,25.7,Safe
7.5,110,2.54,24.72,Safe
7.04,147.4,2.86,24.29,Safe
7.39,127.4,1.87,24.56,Safe
6.78,88.7,1.97,24.87,Safe
7.24,143.8,2.45,25.24,Safe
7.41,136.7,1.4,24.83,Safe
6.85,156,1.58,25.43,Safe
7.19,140.6,0.01,25.26,Safe
7.39,149.6,2.17,25.32,Safe
7.05,82.2,1.23,25.02,Safe
7.34,103.9,2.17,26.24,Safe
7.42,142,1.42,25.18,Safe
7.35,106.4,2.5,24.88,Safe
7.11,97.8,3.19,25.96,Safe
7.1,153.6,0.87,25,Safe
7.21,88.6,2.16,25.82,Safe
7.06,83.9,1.31,24.95,Safe
6.84,84.9,2.27,24.51,Safe
6.75,133.3,2.05,24.74,Safe
7.08,97.9,1.4,24.66,Safe
7.29,151,2.21,24.64,Safe
7.5,133,1.31,24.99,Safe
7.27,96.8,0,25.1,Safe
7.27,99.9,1.56,25.23,Safe
7.56,140.4,0.38,25.16,Safe
7.36,113,1.18,25.09,Safe
6.77,106.8,2.9,25.28,Safe
6.95,165.3,0,24.81,Safe
7.43,168.9,2.33,24.97,Safe
6.89,168,3.54,25.57,Safe
7.3,159.8,0.78,24.54,Safe
7,185.1,3.38,24.25,Safe
7.12,163.6,1.77,25.61,Safe
7.08,153,0,25.78,Safe
6.76,146.8,1.87,24.42,Safe
7.29,86.1,0.94,24.63,Safe
7.13,131.5,2.07,25.08,Safe
7.18,129.5,2.1,25.19,Safe
7.24,120.5,2.67,24.62,Safe
7.58,129.9,1.68,24.68,Safe
6.87,109,1.59,24.52,Safe
7.5,114.3,0.86,24.76,Safe
7.42,173.5,1.21,24.95,Safe
7.19,138.5,2.36,24.76,Safe
7.28,132.2,2.58,24.92,Safe
7.46,161.2,1.27,25.55,Safe
7.05,116.5,0.71,24.18,Safe
6.86,110.4,2.64,25.25,Safe
7.28,169.4,0.93,24.92,Safe
7.36,181.2,0.79,25.93,Safe
7.57,177.9,0.82,24.41,Safe
7.23,171.2,3.04,26.43,Safe
7.02,122.8,3.18,25.3,Safe
7.49,104,0.16,24.58,Safe
7.6,142.4,1.93,24.05,Safe
6.95,130.8,0.74,25.08,Safe
7.45,167.2,1.37,25.12,Safe
7.44,84.5,0.93,24.94,Safe
6.96,92.6,0.75,25.45,Safe
7.33,86.6,1.96,26.08,Safe
7.51,82.3,1.41,25.09,Safe
7.16,87.6,0.4,26.1,Safe
6.94,118.1,2.84,26.32,Safe
6.89,111.9,1.5,25.18,Safe
7.09,146.7,2.08,25.55,Safe
7.06,145.5,2.99,25.49,Safe
7.29,154.7,3.56,25.27,Safe
7.22,97.1,1.66,25.74,Safe
7.35,122,0.67,25.59,Safe
7.01,128.4,0.86,24.48,Safe
7.44,96.6,2.04,25.82,Safe
7.33,80.1,1.53,25.2,Safe
6.82,146.7,0.71,25.7,Safe
6.99,145.7,2.04,24.31,Safe
7.08,179.9,2.37,25.3,Safe
6.99,139.4,2.32,25.66,Safe
7.61,184.2,1.22,25.88,Safe
6.87,118.9,1.92,25.44,Safe
7.14,165.9,2.19,25.45,Safe
6.97,154.5,1.42,25.32,Safe
7.31,89,2.83,25.12,Safe
6.75,144.3,1.73,24.61,Safe
6.88,89.1,1.75,25.66,Safe
7.41,135.8,0.47,25.06,Safe
7.44,82.2,2.2,25.56,Safe
7.21,113.4,3.2,24.92,Safe
7.11,94.5,2.2,24.97,Safe
6.97,92.2,2.57,25.55,Safe
7.52,88.8,1.23,25.85,Safe
7.62,77.4,2.34,24.8,Safe
7.16,169.2,2.14,25.23,Safe
6.92,141.6,1.88,25.94,Safe
7.07,125.9,1,26.23,Safe
7.18,104.2,2.9,25.02,Safe
7.49,96.6,3.09,25.65,Safe
7,109.5,1.97,24.91,Safe
6.91,103.4,1.07,24.93,Safe
7.36,106.3,2.42,26.09,Safe
7.61,101.8,3.54,26.11,Safe
